Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
-2.079999924,-2.552,-0.513,-0.182,-2.261
-2.112999916,-2.333,-0.393,-1,-2.335
-2.312999964,-2.066,0.02,-0.419,-1.751
-1.248999953,-2.223,0.094,-0.549,-1.02
-2.360000134,-1.95,0.395,-0.554,-3.343
-2.700000048,-1.823,-0.232,-1.366,-3.804
-2.816999912,-2.164,-0.179,-0.321,-3.355
-2.223999977,-1.768,-0.208,-1.746,-3.451
-2.136000156,-1.603,-0.349,-1.86,-3.75
-2.254000187,-1.356,-0.012,-2.147,-2.624
-2.296000004,-1.632,0.111,-2.041,-3.648
-2.375999928,-1.625,-0.246,-1.773,-3.886
-2.09800005,-1.747,-0.537,-1.251,-4.548
-2.808000088,-1.631,-1.059,-1.481,-6.181
-2.429000139,-2.039,-1.056,-1.46,-5.701
-2.379999876,-2.333,-0.223,-1.626,-3.759
-2.384000063,-2.961,-0.895,-1.627,-4.579
-2.762000084,-3.324,-0.714,-1.462,-3.944
-2.148999929,-3.999,-0.762,-1.32,-4.083
-2.299999952,-3.999,-0.688,-1.636,-4.948
-2.677999973,-2.727,0.142,-1.432,-4.375
-3.840000153,-2.526,-0.769,-1.683,-4.165
-4.255000114,-2.308,-0.642,-1.904,-4.255
-1.286999941,-1.93,-0.653,-1.853,-4.448
8.892999649,-2.488,-0.628,-2.165,-5.008
5.502999783,-2.124,-0.616,-1.953,-4.422
5.009999752,-2.2,-0.791,-2.085,-4.64
-0.398999989,-1.844,-0.928,-2.211,-4.92
1.297999978,-2.493,-0.722,-2.399,-4.579
-0.085000001,-2.058,-0.882,-2.321,-4.843
0.921000004,-1.936,-0.615,-2.395,-4.828
1.010999918,-2.116,-0.583,-2.155,-4.739
-1.811000109,-2.366,-0.55,-2.165,-4.326
-1.050999999,-2.721,-0.615,-2.459,-4.424
-1.7700001,-1.933,-0.675,-2.616,-4.089
